,MANDT_x,EBELN,EBELP,MATNR,BUKRS_x,WERKS,MENGE,NETPR,NETWR,LABNR,MANDT_y,LIFNR,BUKRS_y,BSTYP,BSART,LOEKZ,STATU,AEDAT,Total_NOV
120,100,4501116413,30,07982110151,1000,1000,1.0,25.7,25.7,3007866371 v. 07.02.,100,210191,1000,F,NB,,9,20220201,25.7
121,100,4501116214,20,07931089015,1000,1000,2.0,2.51,5.02,42762743,100,207943,1000,F,NB,,B,20220128,10.04
122,100,4501115469,20,30097060332,1000,1000,1.0,42.82,42.82,267289,100,211225,1000,F,NB,,9,20220120,42.82
123,100,4501115070,180,70000141303,1000,1000,2.0,102.13,204.26,0052447930,100,212213,1000,F,NB,,9,20220117,408.52
124,100,4501116291,310,16973002002,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220131,0.01
125,100,4501116291,300,70000142135,1000,1000,1.0,0.01,0.01,,100,212505,1000,F,NB,,9,20220131,0.01
126,100,4501114211,20,06562700406,1000,1000,1.0,140.0,140.0,4200632,100,301583,1000,F,NB,,B,20220103,140.0
127,100,4501115095,20,30238810138,1000,1000,1.0,13.9,13.9,4242039/26.01.22,100,301583,1000,F,NB,,B,20220117,13.9
128,100,4501116360,30,06410404508,1000,1000,1.0,0.61,0.61,123470592,100,219098,1000,F,NB,,9,20220131,0.61
129,100,4501116292,60,07916240046,1000,1000,10.0,29.29,292.9,5016502120v.15.04.,100,222031,1000,F,NB,,9,20220131,2929.0
130,100,4501116292,30,07916248090,1000,1000,10.0,36.41,364.1,5016502120  v. 03.02,100,222031,1000,F,NB,,9,20220131,3641.0
131,100,4501114595,40,07911840095,1000,1000,10.0,18.13,181.3,2723239 v. 03.03.22,100,246091,1000,F,NB,,9,20220111,1813.0
132,100,4501115753,20,70000038991,1000,1000,1.0,111.35,111.35,,100,290096,1000,F,NB,,9,20220124,111.35
133,100,4501116047,30,70000119197,1000,1000,2.0,4.42,8.84,1200960431 v. 04.02.,100,258299,1000,F,NB,,9,20220127,17.68
134,100,4501115921,80,16545780071,1000,1000,4.0,20.5,82.0,,100,293710,1000,F,NB,,9,20220126,328.0
135,100,4501114754,20,06220203618,1000,1000,30.0,4.29,128.7,,100,292482,1000,F,NB,,9,20220113,3860.9999999999995
